key;fr;en
KEY_Bouhtade_0;Attend, t'as pas peur de moi, toi ? Tout le monde a peur de moi normalement ... Tu pourrais m'aider a chercher mon ame qui a ete dispersee ?;Wait, you're not scared of me, are you? Everyone is usually afraid of me ... Could you help me find my soul that has been scattered?
KEY_Bouhtade_1;Tu sais, depuis que je suis mort, je remarque que la vie etait pas si mal ...;You know, since I died, I noticed that life wasn't so bad ...
KEY_Bouhtade_2;Quand j'etais vivant, j'etais souvent seul mais maintenant c'est pas mieux, je tourne en rond ...;When I was alive, I was often alone but now it's not better, I'm going around ...
KEY_Bouhtade_3;Je suis mort a cause d'une maladie mais personne n'est venu me rendre visite ...;I died because of a disease but no one came to visit me ...
KEY_Bouhtade_4;L'eternite c'est long, on ressasse encore et encore ses erreurs du passe tout en regrettant amerement d'avoir ete aussi intile de son vivant ...;Eternity is long, we go over and over our past mistakes while bitterly regretting having been so useless in our lifetime ...
KEY_Bouhtade_5;Les gens qui etaient mes amis sont partis parce que je n'etais apparement pas assez interessant pour eux ...;The people who were my friends left because I was apparently not interesting enough for them ...
KEY_Bouhtade_6;Ca faisait 72 ans que je n'avais vu personne, j'ai compter jusqu'a 1 643 298 et c'etait le truc le plus divertissant que j'ai fais, merci de rester avec moi ...;It had been 72 years since I had seen anyone, I counted up to 1,643,298 and it was the most entertaining thing I did, thank you for staying with me ...
KEY_Meowgician_0;Hihihihihi, bienvenuuuuuuuuue, je peux te concocter un elixiiiiiiiir le courage mais pour ca, hihihi, il me faudrait un RAT, un CHAMPIGNON et un peu d'EAU !;Hihihihihi, welcoooooooome, I can concoct you a courage elixiiiiiiiir but for that, hihihi, I would need a RAT, a MUSHROOM and some WATER !
KEY_Meowgician_1;Cette potion te permettra de combahahahattre tes peurs pour aller parler aux inconnuuuuuuus !;This potion will allooooooow you to fight your fears to go talk to strangeeeeeeeers !
KEY_Meowgician_2;Un rat bien frais et tout doux fera l'affaire, eleve en plein air ou bien en captivite, le gout est le même. Hihihihihi;A freeeeesh and soooooft rat will do the trick, raised outdoors or in captivity, the taste is the saaaame ! Hihihihihi !
KEY_Meowgician_3;Un champignon bien juteux, c'est meilleur qu'en conserve ahahah. La forêt en regorgeais avant que je les mange touuuuuus;A juicy mushroom, it's better than canned ones ahahah. The forest was full of them before I ate theeeeeem all !
KEY_Martin_0;Hey mon p'tit, t'en a pris du temps pour v'nir alors que le ch'min est si facile a trouver. Tu aurais pu mieux faire;Hey lil guy, it took you a while to come even though the path is so easy to find. You could have done better.
KEY_Martin_1;Tu pourrais m'servir a que'que chose au moins et foutre le feu cette dynamite avec ta lanterne.;You could at least be useful and set off that dynamite with your lantern.
